id;reference_number;species_number;record;sampled_habitat;active_methods;passive_methods;complementary_methods;period;month_start;year_start;month_finish;year_finish;effort_months;country;state;state_abbreviation;municipality;site;latitude;longitude;coordinate_precision;altitude;temperature;precipitation
amp1624;1207;15;co;pp;as;NA;NA;tw,ni;11;2004; 8;2005;  9;Brazil;São Paulo;BR-SP;Icém;NA;-20,363889;-49,19389;dd; 446;23,57;1271
amp1625;1207;11;co;sw;as;NA;NA;tw,ni;11;2004; 8;2005;  9;Brazil;São Paulo;BR-SP;Icém;NA;-20,362778;-49,23639;dd; 460;23,43;1267
amp1626;1207;12;co;sw;as;NA;NA;tw,ni;11;2004; 8;2005;  9;Brazil;São Paulo;BR-SP;Icém;NA;-20,358333;-49,19861;dd; 451;23,54;1280
amp1627;1207;10;co;sw;as;NA;NA;tw,ni;11;2004; 8;2005;  9;Brazil;São Paulo;BR-SP;Icém;NA;-20,363333;-49,19333;dd; 446;23,57;1271
amp1628;1208;34;co;fo,pp,ll,is,br;as,sb;NA;NA;da,tw,ni;12;2014; 2;2017; 26;Brazil;São Paulo;BR-SP;São Paulo;Parque Estadual da Serra do Mar - Núcleo Curucutu;-23,986944;-46,74278;gms; 804;17,40;2348
amp1629;1208;43;co;fo,pp,ll,is,br;as,sb;NA;NA;da,tw,ni;12;2014; 2;2017; 26;Brazil;São Paulo;BR-SP;São Sebastião;Parque Estadual da Serra do Mar - Núcleo São Sebastião;-23,718889;-45,71917;gms; 107;21,60;2559
amp1630;1208;42;co;fo,pp,ll,is,br;as,sb;NA;NA;da,tw,ni;12;2014; 2;2017; 26;Brazil;São Paulo;BR-SP;São Luís do Paraitinga;Parque Estadual da Serra do Mar - Núcleo Santa Virgínia;-23,337222;-45,13528;gms; 984;16,83;1761
amp1631;1209;15;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Limeira;NA;-22,653333;-47,27472;utm; 557;20,55;1252
amp1632;1209; 5;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Jaguariúna;NA;-22,715833;-47,08778;utm; 610;20,29;1270
amp1633;1209;13;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Araras;NA;-22,274722;-47,18833;utm; 583;20,87;1301
amp1634;1209;11;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Artur Nogueira;NA;-22,573333;-47,10250;utm; 584;20,39;1279
amp1635;1209; 5;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Conchal;NA;-22,423333;-47,14556;utm; 657;20,28;1300
amp1636;1209;10;ab;fo,pp,la,sw;as,sb;pt;ae,rr;mo,da,tw,ni; 3;2010;12;2010;  9;Brazil;São Paulo;BR-SP;Engenheiro Coelho;NA;-22,480833;-47,10028;utm; 694;20,02;1299
amp1637;1210;25;ab;fo,tp,la,sw,ll,is,br;as;pt;tp;mo,da,tw,ni; 6;2005; 1;2008; 31;Brazil;São Paulo;BR-SP;Eldorado;Parque Estadual de Jacupiranga - Núcleo Caverna do Diabo;-24,638056;-48,40167;gms; 543;19,57;1546
amp1638;1210;26;ab;fo,tp,la,sw,ll,is,br;as;pt;tp;mo,da,tw,ni; 6;2005; 1;2008; 31;Brazil;São Paulo;BR-SP;Barra do Turvo;Parque Estadual de Jacupiranga - Núcleo Cedro;-24,967500;-48,42639;NA; 790;17,84;1680
amp1639;1211; 5;ab;is;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,761111;-49,16083;gms; 623;19,67;1214
amp1640;1211; 7;ab;is;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,746389;-46,16361;gms; 746;17,85;2466
amp1641;1211; 8;ab;is;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,742778;-46,14750;gms; 803;17,56;2440
amp1642;1211;10;ab;pp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,734167;-46,18056;gms; 844;17,30;2388
amp1643;1211;11;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,740556;-46,14306;gms; 742;17,88;2421
amp1644;1211;11;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,756667;-46,14306;gms; 785;17,65;2487
amp1645;1211; 9;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,750833;-46,16417;gms; 771;17,72;2499
amp1646;1211; 9;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,743889;-46,14917;gms; 803;17,56;2440
amp1647;1211; 7;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,740278;-46,14306;gms; 742;17,88;2421
amp1648;1211; 9;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,742778;-46,14806;gms; 803;17,56;2440
amp1649;1211;11;ab;tp;as;NA;NA;NA; 3;2006; 3;2007; 12;Brazil;São Paulo;BR-SP;Bertioga;Parque das Neblinas;-23,743611;-46,14917;gms; 803;17,56;2440
amp1650;1212;27;co;fo,ll;as;pt;NA;NA; 1;2002; 1;2003; 12;Brazil;São Paulo;BR-SP;Cotia;Reserva Florestal de Morro Grande;-23,726667;-46,99639;NA; 956;16,79;1585
amp1651;1213;21;co;fo,ll;as;pt;NA;NA; 1;2002; 1;2004; 24;Brazil;São Paulo;BR-SP;Ibiúna;Planalto de Ibiúna;-23,713889;-47,08222;NA; 914;17,07;1538
amp1652;1214;17;co;tp,la,sw;as;NA;NA;da,tw,ni; 7;2010; 6;2011; 11;Brazil;São Paulo;BR-SP;Botucatu;Represa do Ribeirão Lavapés;-22,923056;-48,45778;gms; 844;19,02;1325
amp1653;1215;32;co;fo,la,is;as,sb;NA;NA;da,tw,ni; 8;2005; 9;2006; 13;Brazil;São Paulo;BR-SP;São Miguel Arcanjo;Parque Estadual Carlos Botelho;-24,050000;-47,98333;gm; 787;17,65;1379
